
#Utility level 1

Healthy, U, max_health+20, Increase Max Health by 20%
Speedy, U, speed+20, Increase Speed by 20%
Giant, U, size+10, Increase size by 40%
Fruitious, U, health_regen+30, Increase health regen by 30%


#Mainskill level 1

Sprinter, M, dash_speed+20, Increase dash impulse by 20%
Dasher, M, dash_timer_offset-12, Decrease dash cooldown by 20%
Areator, M, dash_size+9, Increase area of effect by +20%
Countor, M, dash_count+1, Increase dash count by 1


#Ability level 1
TimesFreezer, A, slowtime+3, Freeze time for 3 seconds 
Supercharge, A, dash_cooldown=0|5, Removes the cooldown for dashing for a certain period and accelerates the player
Shockwave, A, damage=100, Damages everything on the screen
